,_Candidate__num_code,_Candidate__party,_Candidate__number,_Candidate__marital_status,_Candidate__profession,_Candidate__schooling,_Candidate__state,_Candidate__status,_Candidate__patrimony,_Candidate__spent,_Candidate__votes,_Candidate__reelected,_Person__name,_Person__age,_Person__gender,_Person__color
0,10001619992,REPUBLICANOS - REPUBLICANOS,1022,CASADO(A),EMPRESÁRIO,ENSINO MÉDIO COMPLETO,ACRE - AC,SUPLENTE,829357.37,0,10092,False,KEILIANE CORDEIRO,33.0,FEMININO,PRETA
1,10001621651,PP - PROGRESSISTAS,1144,SOLTEIRO(A),MÉDICO,SUPERIOR COMPLETO,ACRE - AC,SUPLENTE,3470000.00,0,4097,False,DR EDSON,53.0,MASCULINO,PARDA
2,10001612492,UNIÃO - UNIÃO BRASIL,4417,DIVORCIADO(A),PRODUTOR AGROPECUÁRIO,ENSINO MÉDIO COMPLETO,ACRE - AC,SUPLENTE,0.00,0,2164,False,PEDRO VALERIO,56.0,MASCULINO,PARDA
3,10001595346,PSOL - PARTIDO SOCIALISMO E LIBERDADE,5022,SOLTEIRO(A),AGRICULTOR,ENSINO MÉDIO COMPLETO,ACRE - AC,NÃO ELEITO,0.00,0,114,False,CRISTINA CARUTA,21.0,FEMININO,PARDA
4,10001649411,PSB - PARTIDO SOCIALISTA BRASILEIRO,4040,CASADO(A),MÉDICO,SUPERIOR COMPLETO,ACRE - AC,NÃO ELEITO,253396.75,0,3424,False,DR THOR DANTAS,49.0,MASCULINO,PARDA
5,10001738921,PSC - PARTIDO SOCIAL CRISTÃO,2020,DIVORCIADO(A),MECÂNICO DE MANUTENÇÃO,ENSINO MÉDIO INCOMPLETO,ACRE - AC,NÃO ELEITO,0.00,0,246,False,JECÉ MECANICO,43.0,MASCULINO,PARDA
6,10001595344,PSOL - PARTIDO SOCIALISMO E LIBERDADE,5020,SOLTEIRO(A),PROFESSOR DE ENSINO FUNDAMENTAL,SUPERIOR COMPLETO,ACRE - AC,NÃO ELEITO,925000.00,0,176,False,PROFESSOR ROGÉRIO,32.0,MASCULINO,PRETA
7,10001655725,PODE - PODEMOS,1999,SOLTEIRO(A),EMPRESÁRIO,SUPERIOR COMPLETO,ACRE - AC,NÃO ELEITO,0.00,0,5373,False,BRUNO MORAES,35.0,MASCULINO,PARDA
8,10001595347,PSOL - PARTIDO SOCIALISMO E LIBERDADE,5012,SOLTEIRO(A),PROFESSOR DE ENSINO MÉDIO,SUPERIOR COMPLETO,ACRE - AC,NÃO ELEITO,0.00,0,217,False,WILLIAM FRANÇA,33.0,MASCULINO,PRETA
9,10001621645,PP - PROGRESSISTAS,1106,CASADO(A),VEREADOR,SUPERIOR COMPLETO,ACRE - AC,SUPLENTE,459671.56,0,7436,False,SAMIR BESTENE,44.0,MASCULINO,BRANCA
